ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2020,10,20,JT,JACANA/TREMEMBE,-23.456472,-46.59039,AV. ANTONELO DA MESSINA,R. MARIA AMALIA LOPES AZEVEDO,ÚNICO,CET,43.2
2020,10,25,IP,IPIRANGA,-23.568528,-46.607895,R. PRES. BATISTA PEREIRA,AV. DO. ESTADO,AMBOS,CET,37.2
2020,10,25,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO,VD. GAL. EUCLIDES DE FIGUEIREDO,AMBOS,CET,41.4
2020,10,25,MO,MOOCA,-23.544553,-46.593235,AV. ALCANTARA MACHADO,VD. GUADALAJARA-JOAO BEHISNELIAN,CENTRO/BAIRRO,CET,38.6
2020,10,25,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO,VD. GAL. EUCLIDES DE FIGUEIREDO,AMBOS,CET,41.4
2020,10,25,PI,PINHEIROS,-23.588199,-46.690533,AV. DAS NACOES UNIDAS (ALTO DE PINHEIROS),R OLIVIA FEDER,INTERLAGOS/CASTELO - LOCAL,CET,33.0
2020,10,25,MO,MOOCA,-23.540669,-46.612936,AV. RANGEL PESTANA (BRAS),R HIPODROMO,AMBOS,CET,38.6
2020,10,25,SE,SE,-23.556029,-46.623143,AV. DO. ESTADO,SOB VIADUTO FEPASA,IPIRANGA/SANTANA,CET,44.5
2020,10,30,SA,SANTO AMARO,-23.626241,-46.675933,AV. JORN. ROBERTO MARINHO,R. JOAO ALVARES SOARES,MARGINAL/AEROPORTO,CET,29.5
2020,10,30,MO,MOOCA,-23.540399,-46.627605,AV. DO. ESTADO,LG. DO. PARI,IPIRANGA/SANTANA,CET,26.2
2020,11,11,SE,SE,-23.5486,-46.638604,PC. DA BANDEIRA (REPUBLICA),PQ ANHANGABAU,CENTRO/BAIRRO,CET,26.3
2020,11,11,MO,MOOCA,-23.550248,-46.601115,R. BRESSER (BRAS),VD BRESSER,AMBOS,CET,24.5
2020,11,11,LA,LAPA,-23.526435,-46.682228,AV. POMPEIA (BARRA FUNDA),R PALESTRA ITALIA,POMPEIA/MARGINAL,CET,26.7
2020,11,11,LA,LAPA,-23.526435,-46.682228,R. PALESTRA ITALIA (BARRA FUNDA),AV POMPEIA,UNICO,CET,26.7
2020,11,11,MO,MOOCA,-23.544553,-46.593235,AV. ALCANTARA MACHADO (BELEM),VD GUADALAJARA-JOAO BEHISNELIAN,BAIRRO/CENTRO,CET,24.5
2020,11,11,CV,CASA VERDE/CACHOEIRINHA,-23.503907,-46.684676,AV. ANTONIO MUNHOZ BONILHA,AV. NSRA. DO. O,AMBOS,CET,25.2
2020,11,11,MO,MOOCA,-23.542695,-46.626852,AV. MERCURIO (SE),R STA ROSA,CENTRO/BAIRRO,CET,24.5
2020,11,11,SE,SE,-23.543441,-46.627025,AV. MERCURIO,PC. S. VITO,CENTRO/BAIRRO,CET,26.3
2020,11,11,IP,IPIRANGA,-23.568528,-46.607896,AV. DO. ESTADO,R. PRES. BATISTA PEREIRA,IP/ST,CET,14.7
2020,11,11,PI,PINHEIROS,-23.618291,-46.682353,AV. STO AMARO (CAMPO BELO),ALTURA DO N. 4000,BAIRRO/CENTRO,CET,18.8
2020,11,13,PI,PINHEIROS,-23.618291,-46.682353,AV. STO AMARO (CAMPO BELO),ALTURA DO NÚMERO 4000 VIADUTO CAMPO BELO,BAIRRO/CENTRO ,CET,2.7
2020,11,30,CL,CAMPO LIMPO,-23.666952,-46.772642,AV. ELLIS MAAS,ALTURA DO NÚMERO 698,AMBOS,CET,13.9
2020,11,30,SE,SE,-23.549069,-46.638807,AV. VINTE E TRES DE MAIO (LIBERDADE),PC DA BANDEIRA,SANTANA/AEROPORTO,CET,27.0
2020,11,30,SE,SE,-23.557195,-46.62856,R. S PAULO (LIBERDADE),R TEIXEIRA LEITE,UNICO,CET,27.0
2020,11,30,LA,LAPA,-23.532197,-46.662405,VEL. PRES JOAO GOULART (BARRA FUNDA),R MARGARIDA,AMBOS,CET,19.6
2020,11,30,SE,SE,-23.543615,-46.635479,TN. PAPA JOAO PAULO II (REPUBLICA),EMBOQUE,SANTANA/AEROPORTO,CET,27.0
2020,11,30,SE,SE,-23.549069,-46.638807,PC. DA BANDEIRA (REPUBLICA),AV VINTE E TRES DE MAIO,BAIRRO/CENTRO,CET,27.0
